Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6CVrnuMvknlW7OXmY1zgX4,"Death In My Pocket","Hotel Diablo","mgk",2019-07-05,179761,56,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:49:44Z,"","Bad Boy/Interscope Records",0.633,0.713,3,-5.221,1,0.0724,0.226,0,0.131,0.304,92.279,4
spotify:track:7AbpTqNbxpqWQjKcSOpYvq,"last november","mainstream sellout (life in pink deluxe)","mgk",2022-06-24,174833,56,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:49:59Z,"","Bad Boy/Interscope Records",0.452,0.524,11,-5.077,1,0.0322,0.0731,0,0.103,0.158,170.069,4
spotify:track:77lGafvlU68CeHgB2pkHC9,"At My Best (feat. Hailee Steinfeld)","bloom","mgk;Hailee Steinfeld",2017-05-12,199973,57,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:50:20Z,"","Bad Boy / Interscope",0.524,0.772,7,-6.696,0,0.152,0.00273,0.000169,0.224,0.237,169.855,4
spotify:track:2lHktSigIAZqf7BkA7NRS7,"Bois Lie (feat. Machine Gun Kelly)","Love Sux","Avril Lavigne;mgk",2022-02-25,163321,57,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:50:32Z,"","DTA Records",0.541,0.855,6,-4.578,1,0.0668,0.00164,0,0.145,0.739,143.967,4
spotify:track:2qtqIinDwJQzsUofMtkH0D,"don't sleep, repeat (feat. Machine Gun Kelly)","don't sleep, repeat (feat. Machine Gun Kelly)","44phantom;mgk",2022-08-19,149160,54,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:50:44Z,"","Records/Columbia",0.667,0.716,7,-4.463,1,0.0564,0.238,0,0.255,0.412,144.943,4
spotify:track:6EPxapAlha7pEyn5kXgW3R,"lonely","Tickets To My Downfall","mgk",2020-09-25,190142,56,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:51:33Z,"","Bad Boy/Interscope Records",0.455,0.728,6,-6.62,0,0.0749,0.015,0.0000474,0.111,0.461,165.948,3
spotify:track:6VrCmhRBFnuGKmtNfk4jDs,"Spotlight","Spotlight","Marshmello;Lil Peep",2018-01-12,177600,70,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:51:46Z,"edm,эмо-рэп,клауд-рэп","Joytime Collective / Lil Peep",0.546,0.822,7,-4.483,1,0.151,0.0145,0,0.742,0.615,150.06,4
spotify:track:1eTdTVIxLlhHwwA50vEzZa,"nothing inside (feat. iann dior)","Tickets To My Downfall","mgk;iann dior",2020-09-25,172234,55,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:52:21Z,"мелодичный рэп","Bad Boy/Interscope Records",0.561,0.81,8,-4.754,0,0.0461,0.00047,0,0.157,0.508,87.5,4
spotify:track:4kDgnKgZTX6puRz9EoNjle,"title track","Tickets To My Downfall","mgk",2020-09-25,165967,53,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:52:33Z,"","Bad Boy/Interscope Records",0.268,0.829,7,-5.17,1,0.101,0.00107,0,0.157,0.351,199.886,4
spotify:track:41ltleYVuvEjnqiygy2rQ3,"WWIII","Tickets To My Downfall","mgk",2020-09-25,59739,46,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:52:54Z,"","Bad Boy/Interscope Records",0.435,0.932,4,-3.652,1,0.148,0.0000747,0.00000131,0.12,0.812,160.084,4
spotify:track:7os53rdrgA0OU6xC5xJruX,"concert for aliens","Tickets To My Downfall","mgk",2020-09-25,160222,55,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:53:09Z,"","Bad Boy/Interscope Records",0.507,0.951,11,-2.999,1,0.0586,0.00032,0,0.33,0.692,95.016,4
spotify:track:2iVsPIS2yjS4xhs5Rdy65O,"jawbreaker","Tickets To My Downfall","mgk",2020-09-25,117579,57,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:53:32Z,"","Bad Boy/Interscope Records",0.707,0.576,2,-5.665,1,0.0364,0.000615,0,0.405,0.632,128.08,4
spotify:track:5HKultMiiFUxXrIrX7qFcG,"Super Cell","Trip At Knight","Trippie Redd",2021-08-21,161027,55,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:55:51Z,"мелодичный рэп","1400 Entertainment, Inc. / 10K Projects",0.641,0.755,4,-3.621,0,0.113,0.0162,0,0.0849,0.603,154.829,4
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,88,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:59:18Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,"Moth To A Flame (with The Weeknd)","Paradise Again","Swedish House Mafia;The Weeknd",2022-04-15,234000,80,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:59:40Z,"edm","Republic Records",0.553,0.659,8,-7.295,1,0.0391,0.0027,0,0.105,0.105,120.146,4
spotify:track:5J4ZkQpzMUFojo1CtAZYpn,"Love Me Harder","My Everything (Deluxe)","Ariana Grande;The Weeknd",2014-08-22,236133,81,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T17:00:56Z,"поп","Universal Records",0.486,0.712,1,-4.388,0,0.0328,0.00936,0,0.0764,0.244,99.128,4
spotify:track:2R0wxsp33swwsyuJqmTJHa,"Репит","SUPER PUPER NOVA","5opka;MellSher",2025-07-25,166000,28,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-27T13:12:26Z,"","The Fence",0.808,0.933,8,-4.752,1,0.0892,0.0146,0.00164,0.0633,0.699,120.021,4
spotify:track:75enpZYDT6k0PNKu6SJ4W5,"4am","4am","girl in red",2018-08-10,110861,56,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-31T11:19:30Z,"bedroom pop","world in red",0.418,0.392,9,-13.771,1,0.0383,0.663,0.335,0.204,0.295,168.902,4
spotify:track:49oNAMh9RBScs4HXZJgvgl,"Too Much","I'M DOING IT AGAIN BABY!","girl in red",2024-04-12,183473,51,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-31T11:21:10Z,"bedroom pop","Columbia",0.53,0.609,5,-5.977,0,0.0625,0.233,0.00000775,0.108,0.378,161.973,4
spotify:track:6LK3rmeoEfVYtH8B6qbwZg,"DOING IT AGAIN BABY","I'M DOING IT AGAIN BABY!","girl in red",2024-04-12,145272,48,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-31T11:22:46Z,"bedroom pop","Columbia",0.579,0.898,5,-5.221,1,0.0432,0.00616,0.00000525,0.425,0.76,129.959,4
spotify:track:65wEZxhPlAERKLcSbTD7qc,"You Stupid Bitch","if i could make it go quiet","girl in red",2021-04-30,195951,59,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-31T11:23:29Z,"bedroom pop","world in red",0.521,0.833,11,-5.661,0,0.053,0.00721,0.00119,0.272,0.764,149.006,4
spotify:track:5gEni4dmBqme8fyPcyWYiK,"Kate's Not Here - Day Wave & Lawrence Rothman Remix","Kate's Not Here (Day Wave & Lawrence Rothman Remix)","Lawrence Rothman;Day Wave;girl in red",2020-10-07,187364,45,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-31T11:25:37Z,"дрим-поп,сёрф-рок,bedroom pop","KRO RECORDS",0.482,0.866,7,-4.534,1,0.0293,0.000368,0.116,0.247,0.372,147.994,4
spotify:track:6NBZu27n3cxEk4y4c2Kxi8,"1-800","1-800","bbno$;Ironmouse",2025-06-27,209515,82,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-31T18:09:07Z,"","bbno$$",0.663,0.965,9,-3.49,1,0.049,0.0151,0.0145,0.144,0.854,131.953,4
spotify:track:2V45ERWv9xrvV7Udm0a8di,"Not At This Party","Not At This Party","Dasha",2025-02-28,212437,72,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-02T07:35:04Z,"","Warner Records",0.712,0.798,4,-4.768,1,0.0577,0.223,0,0.138,0.572,120.128,4
spotify:track:3QaPy1KgI7nu9FJEQUgn6h,"WILDFLOWER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,261466,92,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-05T09:50:17Z,"","Darkroom/Interscope Records",0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
spotify:track:43zdsphuZLzwA9k4DJhU0I,"when the party's over","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,196077,85,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-05T09:57:19Z,"","Darkroom/Interscope Records",0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,4
spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,86,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-08-05T09:58:44Z,"","Darkroom/Interscope Records",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
